number,value,state,params_class_weight_benign,params_classifier_dropout,params_entropy_lambda,params_learning_rate,params_patch_proj_dropout,params_weight_decay,user_attrs_best_avg_val_loss,user_attrs_best_epoch,user_attrs_best_epoch_fold_val_accs,user_attrs_best_epoch_fold_val_losses,user_attrs_early_stopped_epoch,user_attrs_per_fold_best_val_loss,user_attrs_pruned_epoch
34,0.29087459397265797,COMPLETE,3.154730884018843,0.24232749971890968,0.000925374208621028,3.89168922673689e-05,0.2575508294545388,5.649259575309232e-05,0.29087459397265797,6.0,"[0.7777777777777778, 0.8888888888888888, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632]","[0.31271711737079183, 0.22821763520045757, 0.3051785641092513, 0.38351799419653715, 0.224741658986252]",18.0,"[0.31271711737079183, 0.08575965642125796, 0.23742566142410446, 0.3339926219594322, 0.198734830795394]",
35,0.2880254078468542,COMPLETE,2.6971207487223294,0.22216723636173707,0.000405415588196057,2.638857114747768e-05,0.23710260634349195,1.4456778649097419e-05,0.2880254078468542,10.0,"[0.7777777777777778, 0.8333333333333334, 0.9473684210526315, 0.8947368421052632, 0.8947368421052632]","[0.2854636227728204, 0.1955666886193386, 0.18809532372286317, 0.5079104297364163, 0.2630909743828325]",18.0,"[0.2513300567641434, 0.14914526155972238, 0.17404630191909795, 0.3748302904790954, 0.22005473685873622]",
36,0.44016864029418307,PRUNED,2.3948394263543102,0.20045141260995003,0.00022545533844609795,1.0436076170592596e-05,0.28994478617026986,0.0004365949461365151,,,,,,,7.0
37,0.5582285361042219,PRUNED,2.947795505385667,0.26717139118505895,0.00010117894717345019,0.000243628660736312,0.21800242611206547,0.00011622092896499736,,,,,,,7.0
38,0.29145577156894287,COMPLETE,2.6444905702032147,0.37581275735885444,0.002143906435251564,1.7553397952608264e-05,0.3956581395865376,3.533924348810593e-05,0.29145577156894287,21.0,"[0.7777777777777778, 0.9444444444444444, 0.8947368421052632, 0.8947368421052632, 0.8421052631578947]","[0.2800436184780766, 0.10379772216159229, 0.14556513591445477, 0.5597595784814697, 0.3681128028091208]",29.0,"[0.274624753932585, 0.08965719751083315, 0.1320248396783355, 0.40190577232523966, 0.28625300905466583]",
39,0.27507535178170145,COMPLETE,2.153227785422203,0.2878140752320714,0.00037094247923836554,4.7613778430899085e-05,0.4334465620330932,0.00022758288959310146,0.27507535178170145,5.0,"[0.8888888888888888, 0.8888888888888888, 0.7368421052631579, 0.8947368421052632, 0.8947368421052632]","[0.27685607890533803, 0.176392729523084, 0.25562372801849914, 0.38514697033679113, 0.281357252124795]",21.0,"[0.25720986313748045, 0.14727875070265858, 0.249667574877094, 0.3693113166434494, 0.281357252124795]",
40,0.4152468972411323,PRUNED,3.1066238678406446,0.24221401844658974,0.004715053056821116,0.00013822262427758649,0.31625515932330195,0.0008339713577772257,,,,,,,7.0
41,0.301909294710555,COMPLETE,2.274474179118185,0.21041701614770136,0.0007375999540000913,2.4058647093371724e-05,0.251717307262477,0.000316776657636089,0.301909294710555,10.0,"[0.7777777777777778, 0.9444444444444444, 0.7894736842105263, 0.8947368421052632, 0.8421052631578947]","[0.34086738015321316, 0.14290864751375112, 0.33494577001731257, 0.43068663727440015, 0.260138038594098]",18.0,"[0.32490910102205817, 0.11563923915399243, 0.2151302055876601, 0.34565563959461687, 0.25583637644338425]",
42,0.2903284150270795,COMPLETE,2.1196009796024757,0.22094794170306775,0.0005279173419408484,3.671975168811638e-05,0.23747916392323523,0.000478741875418335,0.2903284150270795,7.0,"[0.8333333333333334, 0.8333333333333334, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632]","[0.3693744829474276, 0.28829792512472824, 0.1701194660846867, 0.4069148696626622, 0.2169353313158928]",18.0,"[0.2437755667374909, 0.1990043712837885, 0.11904771375740988, 0.3671447097715971, 0.15600687760352708]",
43,0.444073258975331,PRUNED,2.480697547814948,0.20892027647680778,0.001119392864558656,5.025598152623183e-05,0.2742800609448705,0.0001694020480511037,,,,,,,9.0
